City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
givet,50.138,4.8255,-0.16,80,19,2.57,FR,1701544329
atuncolla,-15.6833,-70.15,16.03,31,59,2.55,PE,1701544329
pasuquin,18.3328,120.6177,25.25,82,5,4.65,PH,1701544330
ulladulla,-35.35,150.4667,15.43,92,12,2.59,AU,1701544330
howrah,22.5892,88.3103,22.0,78,40,3.09,IN,1701544331
tiksi,71.6872,128.8694,-28.7,100,99,2.25,RU,1701544331
nova xavantina,-14.6667,-52.35,39.1,23,26,1.72,BR,1701544331
sinjar,36.3209,41.8754,12.69,49,7,1.48,IQ,1701544332
port-aux-francais,-49.35,70.2167,5.91,88,48,11.72,TF,1701544332
nichinan,31.6,131.3667,6.15,63,3,3.55,JP,1701544333
bilibino,68.0546,166.4372,-25.78,96,74,1.18,RU,1701544333
edinburgh of the seven seas,-37.0676,-12.3116,13.93,76,100,3.2,SH,1701544334
invercargill,-46.4,168.35,10.36,82,95,5.98,NZ,1701544227
grytviken,-54.2811,-36.5092,3.43,94,100,3.49,GS,1701544335
lorengau,-2.0226,147.2712,26.57,82,76,1.88,PG,1701544335
blackmans bay,-43.0167,147.3167,13.07,93,100,0.45,AU,1701544335
adamstown,-25.066,-130.1015,22.1,83,11,6.07,PN,1701544336
batouri,4.4333,14.3667,22.5,88,100,1.2,CM,1701544336
albany,42.6001,-73.9662,9.85,92,100,0.36,US,1701544218
kolonia,50.9333,6.95,0.54,77,100,2.06,DE,1701544337
la'ie,21.6477,-157.9253,26.98,90,2,1.34,US,1701544338
waitangi,-43.9535,-176.5597,14.34,78,100,5.36,NZ,1701544338
talnakh,69.4865,88.3972,-29.33,97,19,0.52,RU,1701544339
iqaluit,63.7506,-68.5145,-5.15,63,75,8.23,CA,1701544339
bethel,41.3712,-73.414,14.0,80,0,2.06,US,1701544251
bardai,11.65,7.2333,24.26,16,7,3.45,NG,1701544340
college,64.8569,-147.8028,-20.52,79,20,0.0,US,1701544153
marsh harbour,26.5412,-77.0636,26.39,79,64,6.48,BS,1701544341
ushuaia,-54.8,-68.3,5.79,79,98,5.1,AR,1701544341
kununurra,-15.7667,128.7333,26.99,78,76,0.0,AU,1701544342
west island,-12.1568,96.8225,25.99,73,75,5.66,CC,1701544342
new norfolk,-42.7826,147.0587,13.72,93,100,0.8,AU,1701544342
tazovsky,67.4667,78.7,-27.32,94,6,4.38,RU,1701544343
klyuchi,52.2667,79.1667,1.76,62,100,7.12,RU,1701544344
thompson,55.7435,-97.8558,-7.91,86,100,2.06,CA,1701544344
hamilton,39.1834,-84.5333,13.69,75,75,2.06,US,1701544345
sungai raya,0.7,108.9,26.01,87,98,1.12,ID,1701544345
dubno,50.4169,25.7343,1.18,97,100,5.03,UA,1701544346
dongning,44.0622,131.1207,-10.86,93,19,1.7,CN,1701544346
hadibu,12.65,54.0333,25.63,75,65,6.49,YE,1701544346
petropavlovsk-kamchatsky,53.0452,158.6483,-8.08,81,20,7.6,RU,1701544347
stanley,54.868,-1.6985,-2.49,96,20,1.03,GB,1701544347
tralee,52.2704,-9.7026,0.14,100,20,1.54,IE,1701544347
alta,69.9689,23.2717,-15.41,78,58,3.09,NO,1701544348
yuzhno-kurilsk,44.0306,145.8556,1.32,64,10,4.58,RU,1701544348
la ronge,55.1001,-105.2842,-6.86,79,75,2.06,CA,1701544349
bamboo flat,11.7,92.7167,26.05,94,40,0.51,IN,1701544349
taksimo,56.3444,114.8794,-16.56,95,100,0.3,RU,1701544349
pisco,-13.7,-76.2167,24.03,64,0,10.29,PE,1701544199
midvagur,62.0511,-7.1939,2.46,80,20,4.12,FO,1701544350
badger,64.8,-147.5333,-20.57,82,100,0.0,US,1701544351
tofol,5.3248,163.0078,28.06,78,92,6.35,FM,1701544351
lihue,21.9789,-159.3672,25.58,86,0,0.0,US,1701544351
ebaye,8.7748,167.7392,28.01,78,40,7.2,MH,1701544352
changji,44.0167,87.3167,-3.56,93,75,1.0,CN,1701544352
al mindak,20.1588,41.2834,16.78,47,1,3.06,SA,1701544353
wailua homesteads,22.0669,-159.378,25.24,89,0,0.0,US,1701544353
papao,-17.75,-149.55,29.82,82,33,10.18,PF,1701544354
lebu,-37.6167,-73.65,13.1,51,0,9.59,CL,1701544354
jijel,36.8205,5.7667,16.97,51,40,5.66,DZ,1701544354
puerto ayora,-0.7393,-90.3518,29.98,91,75,3.58,EC,1701544355
ribeira grande,38.5167,-28.7,15.22,55,75,5.81,PT,1701544250
howard springs,-12.497,131.047,27.95,95,100,1.54,AU,1701544356
enewetak,11.3474,162.3373,27.56,76,86,8.09,MH,1701544356
puerto natales,-51.7236,-72.4875,7.25,65,75,12.35,CL,1701544357
zhangjiakou,40.81,114.8794,-4.74,59,2,0.57,CN,1701544357
chinde,26.8418,88.0763,11.96,70,0,2.45,NP,1701544357
avarua,-21.2078,-159.775,25.03,82,100,4.63,CK,1701544358
mufulira,-12.5498,28.2407,17.99,93,88,1.7,ZM,1701544358
papatowai,-46.5619,169.4708,10.11,92,100,6.57,NZ,1701544251
santa maria do para,-1.3503,-47.5756,29.39,65,79,2.88,BR,1701544359
georgetown,5.4112,100.3354,26.12,83,20,1.54,MY,1701544359
ephrata,40.1798,-76.1788,16.19,72,0,3.09,US,1701544314
uturoa,-16.7333,-151.4333,26.97,80,100,8.74,PF,1701544360
kilindoni,-7.9139,39.6668,27.36,80,90,3.93,TZ,1701544360
palikir - national government center,6.9248,158.1611,24.41,100,100,0.0,FM,1701544361
bredasdorp,-34.5322,20.0403,17.56,68,100,2.84,ZA,1701544361
tshabong,-26.05,22.45,30.85,13,61,4.39,BW,1701544361
fale old settlement,-9.3852,-171.2468,27.12,72,100,2.33,TK,1701544362
meiganga,6.5167,14.3,24.91,45,100,0.22,CM,1701544362
susuman,62.7833,148.1667,-32.76,99,100,0.86,RU,1701544362
olonkinbyen,70.9221,-8.7187,-0.99,82,64,7.8,SJ,1701544363
maymana,35.9214,64.7836,10.84,50,7,0.7,AF,1701544363
okhotsk,59.3833,143.3,-32.74,88,52,4.94,RU,1701544363
am timan,11.0297,20.2827,29.54,24,1,1.84,TD,1701544364
acu,-5.5767,-36.9086,33.17,42,24,8.22,BR,1701544364
dolinsk,47.35,142.8,-7.93,86,22,2.48,RU,1701544364
soata,6.3337,-72.6828,25.59,30,46,1.25,CO,1701544365
combourg,48.4127,-1.7442,3.01,74,100,4.17,FR,1701544365
panadura,6.7132,79.9026,26.09,86,100,1.97,LK,1701544365
naze,28.3667,129.4833,15.15,66,100,4.43,JP,1701544366
porto-vecchio,41.591,9.2795,13.74,54,75,11.83,FR,1701544366
zaozersk,69.4005,32.4476,-2.54,95,100,2.2,RU,1701544366
essaouira,31.5125,-9.77,17.72,72,20,4.63,MA,1701544366
margaret river,-33.95,115.0667,17.06,84,100,4.88,AU,1701544367
qrendi,35.8347,14.4583,17.84,68,0,6.69,MT,1701544367
trail,49.0998,-117.7022,3.87,90,100,0.69,CA,1701544367
utrik,11.2278,169.8474,27.14,76,83,9.01,MH,1701544256
manokwari,-0.8667,134.0833,25.57,84,100,1.37,ID,1701544368
gadzhiyevo,69.2551,33.3362,-0.73,92,100,3.97,RU,1701544368
udachny,66.4167,112.4,-34.2,66,98,1.55,RU,1701544369
bikenibeu village,1.3673,173.1241,26.98,89,75,3.09,KI,1701544369
mossel bay,-34.1831,22.146,18.96,80,99,4.09,ZA,1701544369
schladen,52.0222,10.5397,1.61,91,100,1.56,DE,1701544370
isafjordur,66.0755,-23.124,-3.5,72,31,1.84,IS,1701544370
port mathurin,-19.6833,63.4167,25.69,79,100,5.75,MU,1701544370
belyy yar,53.6039,91.3903,-1.06,86,0,3.0,RU,1701544371
st. john's,47.5649,-52.7093,4.75,93,100,2.68,CA,1701544072
mount gambier,-37.8333,140.7667,8.52,95,8,1.13,AU,1701544371
kirillov,59.863,38.3813,-9.45,98,91,1.05,RU,1701544372
paracatu,-17.2222,-46.8747,30.47,48,55,2.27,BR,1701544372
la villa del rosario,10.3258,-72.3134,30.93,56,100,1.7,VE,1701544372
kodiak,57.79,-152.4072,3.73,93,100,4.63,US,1701544373
kelibia,36.8476,11.0939,17.14,67,40,1.54,TN,1701544373
higuera de zaragoza,25.95,-109.2833,23.96,45,0,6.41,MX,1701544373
mabaruma,8.2,-59.7833,30.27,52,11,3.3,GY,1701544374
agua dulce,18.1333,-94.1333,30.88,71,100,1.84,MX,1701544374
port lincoln,-34.7333,135.8667,14.19,79,4,4.84,AU,1701544374
bichura,50.5881,107.6022,-11.86,91,82,1.72,RU,1701544375
al bardiyah,31.7561,25.0865,18.97,52,100,3.98,LY,1701544375
holualoa,19.6228,-155.9522,25.48,86,40,0.45,US,1701544376
rongelap,11.1635,166.8941,27.35,75,78,8.76,MH,1701544376
banmankhi,25.8833,87.1833,20.55,56,0,2.23,IN,1701544376
flying fish cove,-10.4217,105.6791,23.82,83,40,2.57,CX,1701544377
rumphi,-11.0186,33.8575,20.32,90,94,1.07,MW,1701544377
carnarvon,-24.8667,113.6333,22.21,77,0,8.63,AU,1701544377
punta arenas,-53.15,-70.9167,9.06,57,75,11.83,CL,1701544368
orenburg,51.7727,55.0988,-0.99,82,100,7.48,RU,1701544378
jamestown,42.097,-79.2353,11.12,95,100,3.09,US,1701544176
cabo san lucas,22.8909,-109.9124,26.61,50,0,2.06,MX,1701544345
selkirk,50.1436,-96.8845,1.71,67,100,4.02,CA,1701544154
kapa'a,22.0752,-159.319,25.99,89,0,0.0,US,1701544379
arak,34.0917,49.6892,8.38,33,0,0.79,IR,1701544379
moissala,8.3404,17.7663,29.53,29,54,0.77,TD,1701544380
richards bay,-28.783,32.0377,21.25,82,0,2.09,ZA,1701544380
kollam,8.8833,76.6,26.23,84,49,1.33,IN,1701544381
mantua,45.1667,10.7833,10.75,77,76,0.45,IT,1701544365
sol'-iletsk,51.1631,54.9918,-1.74,79,100,8.04,RU,1701544381
nar'yan-mar,67.6713,53.087,-9.94,95,100,5.36,RU,1701544382
afaahiti,-17.75,-149.2833,28.93,85,64,9.76,PF,1701544382
prymors'k,46.7348,36.3443,9.21,96,98,3.96,UA,1701544382
behbahan,30.5959,50.2417,16.7,49,0,0.42,IR,1701544383
morehead city,34.7229,-76.726,23.01,91,100,4.12,US,1701544238
port blair,11.6667,92.75,26.02,94,40,0.51,IN,1701544383
buka,40.8108,69.1986,10.07,46,2,1.41,UZ,1701544384
muynoq,43.7683,59.0214,8.59,54,100,4.22,UZ,1701544384
puerto deseado,-47.7503,-65.8938,10.04,45,95,2.54,AR,1701544280
viedma,-40.8135,-62.9967,18.23,14,15,7.21,AR,1701544169
ketchikan,55.3422,-131.6461,4.26,93,100,2.06,US,1701544385
eyl,7.9803,49.8164,25.8,69,67,8.47,SO,1701544385
tucuma,-0.1833,-50.05,30.65,60,35,3.73,BR,1701544386
qaqortoq,60.7167,-46.0333,-1.19,76,100,3.34,GL,1701544386
le vauclin,14.5452,-60.8388,30.03,66,40,5.66,MQ,1701544190
haiku-pauwela,20.9219,-156.3051,25.58,76,20,1.54,US,1701544387
freeport,40.6576,-73.5832,15.99,83,0,4.63,US,1701544199
ancud,-41.8697,-73.8203,11.23,56,23,6.64,CL,1701544388
souillac,-20.5167,57.5167,23.21,94,75,1.54,MU,1701544388
ust-nera,64.5667,143.2,-32.11,99,100,1.23,RU,1701544389
cidreira,-30.1811,-50.2056,22.9,95,100,3.21,BR,1701544389
kodinsk,58.6881,99.1844,-7.53,99,96,1.82,RU,1701544390
togur,58.3631,82.8265,-11.59,97,97,2.24,RU,1701544390
east london,-33.0153,27.9116,21.02,76,100,3.06,ZA,1701544390
gumel,12.6279,9.3912,25.58,15,11,2.65,NG,1701544391
agat village,13.3886,144.6585,28.06,86,20,4.12,GU,1701544391
ilulissat,69.2167,-51.1,-0.99,47,0,3.6,GL,1701544391
tura,25.5198,90.2201,17.64,82,22,1.84,IN,1701544392
toliara,-23.35,43.6667,22.85,54,0,10.47,MG,1701544392
maumere,-8.6199,122.2111,26.94,83,95,1.88,ID,1701544392
rampur,28.8167,79.0333,17.1,57,0,2.67,IN,1701544393
floro,61.5996,5.0328,-0.02,69,100,5.66,NO,1701544393
mulvane,37.4745,-97.2439,5.03,71,100,3.09,US,1701544394
reykjavik,64.1355,-21.8954,-2.9,74,0,2.57,IS,1701544394
aoulef,26.9667,1.0833,20.75,12,76,1.77,DZ,1701544394
praia da vitoria,38.7333,-27.0667,15.14,63,40,9.27,PT,1701544395
antalaha,-14.9003,50.2788,24.1,92,100,2.31,MG,1701544395
hermanus,-34.4187,19.2345,17.61,69,97,2.83,ZA,1701544396
la passe,45.5549,-0.8967,0.13,82,10,2.1,FR,1701544396
karachi,24.9056,67.0822,19.9,52,0,3.09,PK,1701544269
sao miguel do araguaia,-13.275,-50.1628,35.8,31,90,0.91,BR,1701544397
alo,7.4178,6.7371,29.81,44,95,0.45,NG,1701544397
amasra,41.7463,32.3863,15.33,67,100,5.27,TR,1701544397
newman,37.3138,-121.0208,15.59,70,100,1.34,US,1701544398
cabedelo,-6.9811,-34.8339,29.37,70,90,3.93,BR,1701544398
vilyuchinsk,52.9306,158.4028,-7.26,83,100,3.79,RU,1701544399
nabire,-3.3667,135.4833,23.9,92,78,1.3,ID,1701544399
zuwarah,32.9312,12.082,20.7,54,100,4.85,LY,1701544399
al matlin,37.2452,10.05,15.77,63,5,8.28,TN,1701544400
korla,41.7597,86.1469,-0.1,45,8,1.04,CN,1701544401
longyearbyen,78.2186,15.6401,-8.09,73,75,1.54,SJ,1701544401
sibu,2.3,111.8167,24.17,100,20,0.0,MY,1701544401
nemuro,43.3236,145.575,1.55,59,6,5.04,JP,1701544402
castillos,-34.1667,-53.8333,24.28,74,100,2.18,UY,1701544402
antonio enes,-16.2325,39.9086,25.58,69,0,5.09,MZ,1701544402
kailua-kona,19.6406,-155.9956,27.55,85,40,1.34,US,1701544334
kone,-21.0595,164.8658,23.52,83,4,1.46,NC,1701544403
gisborne,-38.6533,178.0042,15.23,72,100,2.22,NZ,1701544403
greenville,35.6127,-77.3663,22.01,92,75,0.0,US,1701544265
tindouf,27.6711,-8.1474,20.25,45,0,6.17,DZ,1701544404
colonia,50.9333,6.95,0.54,77,100,2.06,DE,1701544257
laguna,38.421,-121.4238,14.6,89,100,4.63,US,1701544405
las lomitas,-24.7096,-60.593,42.6,21,17,5.42,AR,1701544405
yushu,44.8,126.5333,-15.41,97,55,3.06,CN,1701544405
kenai,60.5544,-151.2583,-4.36,92,100,4.12,US,1701544406
price,39.5994,-110.8107,2.59,55,20,3.6,US,1701544406
selfoss,63.9331,-20.9971,-5.53,61,91,3.59,IS,1701544406
galashki,43.1136,44.9894,12.49,51,26,2.76,RU,1701544407
saint-philippe,-21.3585,55.7679,23.77,92,100,1.85,RE,1701544407
preobrazheniye,42.9019,133.9064,-4.77,64,52,2.79,RU,1701544407
codrington,-38.2667,141.9667,13.26,83,90,2.77,AU,1701544408
arraial do cabo,-22.9661,-42.0278,29.98,69,20,6.69,BR,1701544408
qarazhal,48.0078,70.7903,2.64,57,100,8.48,KZ,1701544408
chhindwara,22.0667,78.9333,18.92,82,66,2.95,IN,1701544409
yanta,36.2411,115.6672,1.41,33,0,1.94,CN,1701544409
maragogi,-9.0122,-35.2225,27.54,70,68,5.13,BR,1701544409
zhezqazghan,47.7833,67.7667,3.95,62,100,7.6,KZ,1701544410
ola,59.5833,151.2833,-13.37,88,100,2.3,RU,1701544410
visby,57.6409,18.296,0.12,74,100,2.57,SE,1701544411
manta,-0.95,-80.7333,31.88,51,40,4.63,EC,1701544162
patong,7.8961,98.2966,25.08,83,35,3.62,TH,1701544411
whitehorse,60.7161,-135.0538,-11.57,92,100,1.03,CA,1701544346
saipan,15.1355,145.701,27.39,78,40,7.2,MP,1701544412
yellowknife,62.456,-114.3525,-20.29,98,19,2.41,CA,1701544253
kotel'nich,58.3089,48.348,-13.06,97,100,2.19,RU,1701544413
iskateley,67.6803,53.1512,-9.99,95,100,5.36,RU,1701544413
camana,-16.6228,-72.7111,21.98,67,40,4.3,PE,1701544194
anadyr,64.75,177.4833,-19.72,83,0,3.0,RU,1701544414
damavand,35.7178,52.065,5.33,37,0,0.75,IR,1701544414
dalmatovo,56.26,62.9362,-3.58,96,100,5.64,RU,1701544414
cafayate,-26.073,-65.9761,30.69,43,10,5.82,AR,1701544415
chela,34.069,104.4619,-0.12,52,100,0.71,CN,1701544415
toba,34.4833,136.85,9.0,67,0,7.06,JP,1701544415
caazapa,-26.15,-56.4,34.91,54,61,1.56,PY,1701544416
city of balikpapan,-1.242,116.8942,24.2,91,74,1.33,ID,1701544416
chukhloma,58.7525,42.6825,-12.17,99,70,0.89,RU,1701544416
callao,-12.0667,-77.15,21.16,78,75,4.12,PE,1701544417
wanning,18.8003,110.3967,23.25,90,100,5.15,CN,1701544417
remire-montjoly,4.9167,-52.2667,31.02,62,0,4.63,GF,1701544417
selizharovo,56.8519,33.4487,-16.42,100,91,0.99,RU,1701544418
ha giang,22.8333,104.9833,18.22,99,100,0.78,VN,1701544418
beau vallon,-20.4189,57.6953,23.13,94,75,1.54,MU,1701544419
igrim,63.1906,64.4162,-14.95,95,100,3.41,RU,1701544419
aasiaat,68.7098,-52.8699,-12.54,83,69,1.44,GL,1701544419
vorkuta,67.5,64.0,-12.99,95,98,1.99,RU,1701544420
boguchany,58.3814,97.4531,-6.19,97,100,1.79,RU,1701544420
suicheng,33.8963,117.9331,3.22,38,100,1.82,CN,1701544421
san antonio de pale,-1.4014,5.6325,26.97,80,80,3.01,GQ,1701544421
ishigaki,24.3448,124.1572,21.07,83,100,7.72,JP,1701544421
urengoy,65.9667,78.3667,-27.47,92,5,4.14,RU,1701544422
ecoporanga,-18.3733,-40.8306,31.49,48,100,2.42,BR,1701544422
cockburn town,21.4612,-71.1419,27.2,77,95,9.12,TC,1701544422
jarabulus,36.8175,38.0111,9.19,57,6,0.65,SY,1701544423
pocone,-16.2567,-56.6228,38.81,25,91,2.21,BR,1701544423
tobruk,32.0836,23.9764,19.68,39,100,4.08,LY,1701544423
sao jose da coroa grande,-8.8978,-35.1478,27.6,70,77,4.98,BR,1701544296
port elizabeth,-33.918,25.5701,19.62,87,20,1.54,ZA,1701544424
sao gabriel,-30.3364,-54.32,20.85,95,100,3.11,BR,1701544424
mecca,21.4267,39.8261,26.26,67,2,1.56,SA,1701544334
dudinka,69.4058,86.1778,-29.1,88,6,8.09,RU,1701544425
los altos,37.3852,-122.1141,17.25,80,100,2.57,US,1701544425
kerikeri,-35.2268,173.9474,17.73,92,100,2.39,NZ,1701544425
filadelfia,39.9523,-75.1638,15.9,87,75,2.24,US,1701544386
ypsonas,34.6884,32.9574,15.47,88,0,1.54,CY,1701544426
uzyn,49.8262,30.4149,0.9,98,100,5.38,UA,1701544426
port alfred,-33.5906,26.891,18.43,91,53,3.56,ZA,1701544427
ambovombe,-25.1667,46.0833,21.13,59,68,8.4,MG,1701544427
immokalee,26.4187,-81.4173,30.55,67,75,3.09,US,1701544427
fisterra,42.9049,-9.2629,8.75,69,99,3.3,ES,1701544428
colonel hill,22.7667,-74.2167,27.28,76,79,6.88,BS,1701544428
turpan,42.9333,89.1667,1.46,44,9,0.55,CN,1701544428
west end,26.6833,-78.9667,27.99,84,100,5.34,BS,1701544429
long beach,33.767,-118.1892,20.2,68,0,4.12,US,1701544209
vredendal,-31.6683,18.5012,17.2,72,0,6.8,ZA,1701544429
beroroha,-21.6667,45.1667,26.48,54,56,3.95,MG,1701544430
kerema,-7.9631,145.7785,25.33,84,100,1.59,PG,1701544430
lira,2.235,32.9097,22.2,65,98,1.52,UG,1701544430
northam,51.0333,-4.2167,5.14,83,100,7.76,GB,1701544431
poyarkovo,49.6,128.6833,-18.52,94,17,2.71,RU,1701544431
anloga,5.7947,0.8973,27.97,78,97,3.81,GH,1701544431
gushu,31.5598,118.4829,-0.01,35,97,1.38,CN,1701544432
pontianak,-0.0333,109.3333,25.99,94,100,1.03,ID,1701544352
tecuala,22.3986,-105.4569,28.32,43,100,1.93,MX,1701544432
